STE,EWGS,W: EWGS A: InvTanh,W: InvTanh A: EWGS,W: EWGS A: STE,W: InvTanh A: STE
0.7243,0.7274,0.7218,0.7230,0.7233,0.7254
0.7248,0.7262,0.7271,0.7201,0.7223,0.7253
0.7240,0.7191,0.7233,0.7246,0.7243,0.7279
0.7235,0.7249,0.7248,0.7233,0.7248,0.7228
0.7223,0.7235,0.7243,0.7261,0.7249,0.7246
0.7222,0.7261,0.7257,0.7227,0.7240,0.7233
0.7223,0.7215,0.7287,0.7261,0.7266,0.7274
0.7217,0.7220,0.7257,0.7253,0.7243,0.7259
0.7262,0.7236,0.7207,0.7279,0.7253,0.7243
0.7259,0.7197,0.7236,0.7205,0.7215,0.7261
0.7228,0.7238,0.7233,0.7257,0.7243,0.7253
0.7238,0.7272,0.7267,0.7218,0.7228,0.7259
0.7248,0.7212,0.7292,0.7215,0.7235,0.7243
0.7231,0.7227,0.7279,0.7202,0.7253,0.7246
0.7269,0.7231,0.7259,0.7227,0.7243,0.7251
0.7192,0.7238,0.7266,0.7248,0.7261,0.7241
0.7205,0.7282,0.7253,0.7197,0.7225,0.7284
0.7225,0.7233,0.7238,0.7231,0.7238,0.7267
0.7227,0.7236,0.7228,0.7236,0.7238,0.7243
0.7284,0.7261,0.7241,0.7217,0.7212,0.7249